Model,Estación,Producto,Month,RMSE,MAPE
catboost,ES1,95,Feb,0.0155471152535477,1.442944725711782
catboost,ES1,95,Mar,0.0073489059871315,0.1716361097108359
catboost,ES1,95,Apr,0.0077849654727817,0.1190203577097527
catboost,ES1,95,May,0.0069964777055142,0.0865496876921048
catboost,ES1,95,Jun,0.0115284337902227,0.1855741176472062
catboost,ES1,95,Jul,0.0062140797068629,0.0613120634484416
catboost,ES1,95,Aug,0.0138288475369031,0.1311856869259718
catboost,ES1,95,Sep,0.0097753100143444,0.1568686346078306
catboost,ES1,95,Oct,0.0098520883181691,0.1667268406607327
catboost,ES1,95,Nov,0.0083460862215367,0.1623548894420952
catboost,ES1,95,Dec,0.0077046351045424,0.1231315208286722
catboost,ES1,95,Jan,0.005649019242992,0.1126397196606836
catboost,ES1,GOA,Feb,0.0424404564746378,0.078910928113121
catboost,ES1,GOA,Mar,0.042575313608873,0.320913056315766
catboost,ES1,GOA,Apr,0.0469625016165968,0.0648118004388341
catboost,ES1,GOA,May,0.0694234482427507,0.1019665690408919
catboost,ES1,GOA,Jun,0.0327221032941587,0.0480693872063925
catboost,ES1,GOA,Jul,0.0465770387236822,0.0793485552941723
catboost,ES1,GOA,Aug,0.0359501879442416,0.0559134772277359
catboost,ES1,GOA,Sep,0.0328044243933125,0.04764204870075
catboost,ES1,GOA,Oct,0.022425064240869,0.0378507399376799
catboost,ES1,GOA,Nov,0.0415364439058294,0.0686996216837542
catboost,ES1,GOA,Dec,0.066480279603233,0.1334684070191476
catboost,ES1,GOA,Jan,0.0428953714624922,0.084117267201949
catboost,ES10,95,Feb,0.0193950290159266,0.0524434798381783
catboost,ES10,95,Mar,0.0172163502626915,0.0497935088052279
catboost,ES10,95,Apr,0.0189905469734522,0.0521757272445387
catboost,ES10,95,May,0.0216879184011026,0.0509195823860682
catboost,ES10,95,Jun,0.0148904025945885,0.0396004665771093
catboost,ES10,95,Jul,0.0155815596655865,0.0382659521049726
catboost,ES10,95,Aug,0.0166586805138769,0.0433149069296521
catboost,ES10,95,Sep,0.0119455895078408,0.0256981011424742
catboost,ES10,95,Oct,0.011701126661835,0.0296769215969731
catboost,ES10,95,Nov,0.0226687493598386,0.0521593855766481
catboost,ES10,95,Dec,0.0265580445078419,0.0709166175887447
catboost,ES10,95,Jan,0.0135584278547226,0.037294883199066
catboost,ES10,GOA,Feb,0.049299797825181,0.0782460810952944
catboost,ES10,GOA,Mar,0.0597599216282348,0.2412481753741168
catboost,ES10,GOA,Apr,0.0237111127810983,0.0380135821498641
catboost,ES10,GOA,May,0.0293847662861794,0.0496819512436257
catboost,ES10,GOA,Jun,0.0390093720792108,0.0680178687908187
catboost,ES10,GOA,Jul,0.0448750481528786,0.1984177457382542
catboost,ES10,GOA,Aug,0.0187214357632186,0.0268164105359278
catboost,ES10,GOA,Sep,0.0283682710393792,0.0404485916308455
catboost,ES10,GOA,Oct,0.0347394841774188,0.0422849130165469
