year,section,population_00-19,population_20-29,population_30-49,population_50-64,population_65-99,population_total,lat,lon
2016,1500101001,132.0,56.0,293.0,167.0,244.0,892.0,43.220041663474596,-8.296500337840394
2016,1500101002,97.0,61.0,177.0,167.0,251.0,753.0,43.203008706341244,-8.26790643268544
2016,1500102001,101.0,56.0,201.0,159.0,212.0,729.0,43.21593644044922,-8.332758487000069
2016,1500102002,81.0,46.0,183.0,153.0,263.0,726.0,43.17391175651273,-8.322096332161038
2016,1500103001,208.0,105.0,416.0,319.0,427.0,1475.0,43.237944527638305,-8.2624210930593
2016,1500103002,162.0,86.0,293.0,197.0,220.0,958.0,43.27089841322744,-8.277544254753089
2016,1500201001,103.0,60.0,206.0,188.0,281.0,838.0,42.89239413791056,-8.693515195459076
2016,1500201003,119.0,72.0,252.0,198.0,256.0,897.0,42.928953646942254,-8.638747869685222
2016,1500202001,204.0,86.0,312.0,197.0,154.0,953.0,42.87738034079756,-8.642934905022104
2016,1500202002,264.0,129.0,420.0,285.0,267.0,1365.0,42.89914429335863,-8.652257929580768
2016,1500203001,272.0,142.0,437.0,335.0,331.0,1517.0,42.84222666723952,-8.621585643562739
2016,1500203002,325.0,121.0,521.0,175.0,115.0,1257.0,42.861683883184675,-8.662677769276115
2016,1500203003,331.0,93.0,467.0,208.0,197.0,1296.0,42.8492318102169,-8.638974763418062
2016,1500203004,265.0,201.0,441.0,416.0,344.0,1667.0,42.848297041698586,-8.599096312653277
2016,1500203005,510.0,212.0,932.0,379.0,191.0,2224.0,42.84223321951748,-8.580695115477573
2016,1500203006,249.0,123.0,383.0,222.0,85.0,1062.0,42.844628745444744,-8.578758687810735
2016,1500203007,463.0,145.0,655.0,296.0,125.0,1684.0,42.86376248723609,-8.640292212502416
2016,1500203008,527.0,190.0,973.0,338.0,104.0,2132.0,42.84748869140305,-8.577032020180189
2016,1500203009,557.0,277.0,1031.0,433.0,191.0,2489.0,42.84522611701381,-8.571072604164074
2016,1500203010,226.0,138.0,191.0,284.0,54.0,893.0,42.8683635782732,-8.628460211654998
2016,1500203011,442.0,135.0,720.0,240.0,137.0,1674.0,42.855114890927396,-8.65434778921859
2016,1500203012,568.0,182.0,1016.0,312.0,179.0,2257.0,42.85938126914952,-8.643596488435923
2016,1500203013,506.0,210.0,845.0,337.0,106.0,2004.0,42.84613451998324,-8.57801006116052
2016,1500203014,292.0,63.0,610.0,105.0,34.0,1104.0,42.84913368040259,-8.583483128643646
2016,1500203015,427.0,155.0,841.0,244.0,114.0,1781.0,42.86380054187286,-8.65698530325735
2016,1500203016,360.0,123.0,653.0,189.0,125.0,1450.0,42.842358021600944,-8.5743384848239
2016,1500301001,85.0,87.0,219.0,183.0,352.0,926.0,43.23699808697841,-7.977895482788841
2016,1500301002,77.0,73.0,246.0,237.0,423.0,1056.0,43.206238385523186,-8.053182239627853
2016,1500401001,136.0,83.0,298.0,245.0,307.0,1069.0,43.42345406772803,-8.24724838622464
2016,1500401002,300.0,154.0,578.0,348.0,354.0,1734.0,43.429499680315956,-8.241097396404268
2016,1500401003,330.0,184.0,667.0,430.0,492.0,2103.0,43.441742771362925,-8.272753336424344
2016,1500402001,84.0,45.0,198.0,162.0,277.0,766.0,43.42989868431622,-8.214014035887626
2016,1500501001,724.0,288.0,1094.0,443.0,275.0,2824.0,43.30453116929765,-8.518966688205538
2016,1500501002,238.0,152.0,446.0,265.0,155.0,1256.0,43.30438053985921,-8.50938297438951
2016,1500501003,318.0,155.0,604.0,239.0,190.0,1506.0,43.306377133089285,-8.49196570715883
2016,1500501004,259.0,219.0,538.0,419.0,220.0,1655.0,43.328445960929635,-8.494073728255277
2016,1500501005,194.0,97.0,323.0,287.0,286.0,1187.0,43.29542577783004,-8.456272928565191
