Dia,dir,prec,presMax,presMin,racha,sol,tmax,tmed,tmin,velmedia
2016-01-01,18,7.0,1012.5,998.3,19.4,1.8,15.3,12.4,9.4,5.8
2016-01-02,22,2.2,1014.3,1006.2,13.6,5.7,14.0,11.2,8.4,4.2
2016-01-03,25,12.0,1006.2,996.9,19.2,0.0,15.6,14.0,12.3,5.8
2016-01-04,29,11.2,999.9,994.5,17.8,0.0,13.0,11.0,9.1,6.7
2016-01-05,99,7.6,1006.2,998.6,21.4,1.9,11.2,9.5,7.8,10.8
2016-01-06,24,11.2,1006.5,997.5,19.2,0.0,15.0,12.0,9.0,6.4
2016-01-07,24,95.0,1001.4,995.0,20.3,0.0,15.9,13.9,11.9,5.8
2016-01-08,22,7.6,998.7,993.5,18.1,0.3,16.2,13.0,9.7,3.6
2016-01-09,21,21.8,998.2,990.9,23.3,0.4,13.4,11.8,10.1,6.4
2016-01-10,26,12.4,993.2,987.8,21.7,0.0,12.4,11.2,9.9,5.8
2016-01-11,24,10.0,1010.4,990.8,21.1,3.1,13.2,11.1,9.0,7.5
2016-01-12,24,0.0,1018.5,1010.4,13.3,4.8,12.4,9.8,7.2,3.9
2016-01-13,17,27.4,1018.4,1004.0,16.7,0.1,14.9,10.8,6.7,4.2
2016-01-14,26,1.2,1019.3,1004.6,14.7,1.0,14.8,11.6,8.4,6.4
2016-01-15,02,0.0,1027.7,1019.1,11.4,5.8,11.8,8.8,5.8,2.5
2016-01-16,14,0.0,1027.4,1021.2,6.4,8.3,12.2,8.0,3.7,1.7
2016-01-17,18,11.0,1021.3,1009.4,15.3,0.2,11.3,9.8,8.2,3.3
2016-01-18,30,2.4,1012.0,1008.6,20.3,2.6,12.4,10.9,9.4,5.8
2016-01-19,17,0.0,1011.8,1005.8,8.9,3.3,13.2,10.9,8.6,2.5
2016-01-20,15,0.6,1008.2,1004.9,8.3,4.1,16.6,13.1,9.6,3.1
2016-01-21,19,0.8,1013.5,1007.3,11.4,2.4,18.0,15.1,12.2,2.8
2016-01-22,21,8.8,1021.2,1013.0,9.7,0.0,17.1,15.6,14.2,3.3
2016-01-23,22,0.0,1023.0,1020.8,9.7,1.5,19.1,16.9,14.7,2.8
2016-01-24,19,0.4,1021.7,1013.0,16.1,5.5,20.5,16.7,12.9,3.3
2016-01-25,18,8.6,1024.9,1012.9,11.4,1.1,17.6,13.8,10.1,2.8
2016-01-26,21,0.0,1024.9,1019.8,11.1,4.5,14.4,11.0,7.7,4.4
2016-01-27,19,23.2,1019.8,1013.4,15.0,1.0,14.7,13.0,11.3,4.4
2016-01-28,36,6.2,1030.0,1015.6,17.8,0.0,11.5,10.6,9.6,5.3
2016-01-29,22,0.0,1029.9,1026.3,7.5,7.5,14.2,9.8,5.5,1.9
2016-01-30,24,2.8,1026.6,1023.9,13.9,1.3,14.3,12.2,10.0,5.0
2016-01-31,24,0.6,1028.8,1023.9,11.4,0.0,15.1,14.0,12.9,3.9
2016-02-01,22,0.0,1028.5,1024.8,5.8,0.0,13.5,12.8,12.0,2.2
2016-02-02,36,1.0,1026.4,1022.4,9.2,0.5,15.7,13.8,11.8,3.6
2016-02-03,36,0.0,1032.4,1026.4,10.8,5.9,13.0,10.4,7.8,5.8
2016-02-04,09,0.0,1032.3,1022.3,5.0,9.5,15.0,10.6,6.2,1.4
2016-02-05,22,0.0,1022.3,1012.4,12.5,8.8,16.9,12.4,7.8,3.6
2016-02-06,22,18.4,1012.4,995.2,23.1,0.2,14.4,11.7,9.0,6.9
2016-02-07,25,1.0,1013.0,1004.8,17.8,2.6,13.3,10.6,7.8,6.1
2016-02-08,22,4.8,1013.9,1007.9,17.8,1.0,16.2,14.4,12.6,6.4
2016-02-09,22,27.8,1010.5,1003.1,23.3,0.0,14.9,12.7,10.5,7.8
